domain,packet_count,avg_packet_size,dns_count,context,passive_score
gereedschapcentrum.nl,3045,782.2,124,general,91.92,91.92
get.cm,486,414.36,36,general,84.82,84.82
getblogs.net,35287,1284.28,63,high_traffic,75.4,75.4
getusinfo.com,342,340.64,24,general,82.96,82.96
giochistars.it,3830,809.53,240,general,93.04,93.04
git.gay,10361,1207.87,43,general,84.38,84.38
github.com,4725,1170.36,38,general,82.88,77.79
givelively.org,1109,557.59,81,general,88.82,88.82
glasshallmark.com,3462,623.83,201,general,92.71,92.71
glb-ru.info,1003,798.8,66,general,90.02,90.02
global.network,882,340.89,84,general,83.92,83.92
globalparachem.in,755,511.4,69,general,87.49,87.49
globalyo.com,20082,1276.52,66,general,81.76,81.76
glowecho.cc,13057,1108.93,112,general,88.52,88.52
gofruits.co,142,278.95,18,general,81.43,81.43
gogo.gs,12349,1073.06,219,general,90.34,90.34
gomaji.com,10172,1024.6,201,general,90.32,90.32
goo.gl,274,380.46,34,general,83.95,78.17
google-analytics.com,4578,1122.15,90,general,84.53,78.38
google.com,1549,872.13,50,general,88.4,78.93
google.ng,10281,1079.76,81,general,87.67,87.67
googleapis.com,3200,1195.54,36,general,81.68,79.56
googledomains.com,267,357.93,16,general,83.22,77.91
googlesyndication.com,1066,885.44,26,general,87.62,79.49
googletagmanager.com,774,632.0,46,general,89.92,80.32
googleusercontent.com,233,416.55,20,general,84.57,78.39
googlevideo.com,363,375.26,40,general,83.94,79.15
goxbet41.com,8388,1186.11,78,general,84.5,84.5
gpvn.ru,15267,1166.95,156,general,87.25,87.25
grameen.tech,249,284.08,48,dns_heavy,81.95,81.95
granit-parts.nl,554,427.19,51,general,85.31,85.31
greenmedinfo.com,11165,1220.59,65,general,84.69,84.69
grip6.com,3739,729.17,206,general,94.38,94.38
grizly.sk,2217,829.2,52,general,89.66,89.66
growmybusiness.me,1267,552.54,74,general,88.68,88.68
gstatic.com,693,469.15,42,general,86.2,80.3
gtcie.com,7964,1226.7,63,general,83.23,83.23
gtld-servers.net,204,329.04,18,general,82.58,78.97
guadalajarasecreta.com,1261,700.81,77,general,92.03,92.03
guidewire.com,1800,663.99,117,general,91.91,91.91
gulfwalkin.com,16567,1125.04,165,general,87.77,87.77
gvt1.com,633,446.71,58,general,85.87,78.86
gvt2.com,183,405.25,32,dns_heavy,84.44,78.35
h2foz.com.br,34846,1289.73,57,high_traffic,75.38,75.38
hamilton.net,2141,926.29,90,general,87.92,87.92
hanadonya.com,5062,863.8,156,general,91.3,91.3
hananude.com,1034,677.27,48,general,91.06,91.06
hanjingchina.com,933,691.07,36,general,91.18,91.18
happymag.tv,4736,716.76,357,general,95.69,95.69
happyorder.co.kr,12013,1232.51,51,general,84.6,84.6
hardonline.com.br,429,281.5,22,general,81.65,81.65
hardware.info,3811,958.65,30,general,87.14,87.14
harlothub.com,18289,1240.09,74,general,83.4,83.4
harmash.com,1304,775.54,63,general,90.62,90.62
hawahawahawa.site,28232,1227.3,156,general,80.66,80.66
hebeisaixin.com,272,543.55,32,general,87.57,87.57
heritageresorts.mu,2249,724.25,129,general,92.95,92.95
heyzo.com,31057,1280.84,78,high_traffic,77.37,77.37
hiddengame.id,8805,1098.58,154,general,87.54,87.54
hipertel.net,2422,901.61,96,general,88.66,88.66
hitachi-ch.co.id,184,275.18,48,dns_heavy,81.73,81.73
hitechglitz.com,1093,609.26,76,general,89.9,89.9
hmsa.com,3817,847.67,156,general,91.16,91.16
hondaskibidi.com,265,232.25,114,dns_heavy,81.61,81.61
